start time                lon       lat      depth  mag
2007-10-31 04:30:50.9000  121.7725  37.4252  7.11  1.39  40204651
2007-11-19 08:43:46.5900  121.7715  37.4247  6.84  1.34  40205818
2008-01-31 05:33:18.2200  121.7713  37.425  6.81  1.27  40210394
2007-08-28 06:20:38.7000  121.7703  37.4238  6.59  0.91  51185993
2007-11-01 23:16:32.5600  121.7713  37.4258  6.73  1.36  51189904
2008-08-16 21:05:34.2900  121.7727  37.4247  6.9  1.22  51207060
2009-09-09 15:39:00.6400  121.772  37.4257  6.5  1.13  71273435
2011-05-11 15:17:14.6900  121.7703  37.4245  6.5  1.13  71568535

1986-02-10 16:14:51.6600  121.7702  37.4258  7.58  1.61  66087
1993-06-18 14:49:09.2100  121.7723  37.426  7.47  1.81  356214
1996-08-10 07:42:50.6700  121.772  37.4263  7.36  1.67  475034

2005-09-18 21:47:22.0900  121.772  37.426  7.12  1.7  21484140
2008-02-14 13:30:58.9100  121.772  37.426  7.8  1.77  51196401
2009-12-30 05:54:27.9000  121.7705  37.426  7.32  1.7  71328000
2013-02-05 06:04:13.3700  121.771  37.426  8.1  1.4  71935386
2018-08-28 12:32:15.4600  121.7722  37.4258  7.17  1.62  73076880

1990-01-08 22:26:27.2600  121.769  37.4237  6.71  1.6  150318
1991-08-01 13:59:21.7400  121.7695  37.4208  6.82  1.68  225865

1984-11-28 05:19:12.3700  121.7502  37.3982  6.27  1.52  41043
1986-12-17 02:28:40.0300  121.75  37.399  5.93  1.36  90388
1988-09-07 07:39:31.1700  121.7495  37.3973  5.97  1.26  123456
1989-11-26 11:35:09.5900  121.7538  37.3993  5.64  1.2  148086
1991-01-09 23:48:01.7800  121.749  37.3967  5.91  1.16  204454
1992-06-25 15:09:33.4200  121.7487  37.3958  5.05  1.38  298746
1994-01-02 22:05:57.5200  121.7493  37.3978  6.12  1.17  390222
1998-01-21 23:19:25.6200  121.7487  37.3972  5.8  1.61  552967
1999-12-16 19:50:59.7900  121.7493  37.3968  6.18  1.41  21072130
2004-11-19 11:00:17.0600  121.7487  37.3972  5.92  1.62  21421016
1995-10-20 11:15:51.4000  121.7493  37.3975  5.97  1.63  30087480
2008-05-27 15:45:17.9800  121.7487  37.3968  6.08  0.99  40218261
2009-01-14 15:16:36.2800  121.7515  37.3982  5.8  1.59  40230128
2006-12-09 19:41:50.7600  121.751  37.3973  6.07  1.07  51176686
2008-01-13 04:02:33.3500  121.75  37.397  6.18  1.22  51194493
2009-09-22 23:24:24.9400  121.7498  37.3973  5.91  1.41  71284996
2010-09-03 07:36:56.8000  121.749  37.3967  6.24  1.46  71450170
2011-10-24 23:39:39.2000  121.7505  37.3978  6.48  1.48  71669971
2013-03-22 17:05:16.1000  121.7502  37.397  6.61  1.55  71958515
