start time                lon       lat      depth  mag
1989-04-28 07:11:11.0800  122.335  37.9733  4.84  2.13  135246
1999-05-08 17:58:05.4700  122.3408  37.9692  6.19  2.13  21011427
2004-07-14 13:51:03.8800  122.3473  37.97  4.83  2.24  21378148
1994-07-02 19:03:31.4800  122.3412  37.969  6.14  2.29  30052115
2010-09-02 17:05:46.6600  122.3507  37.9662  4.76  2.35  71449850
2010-11-18 18:58:50.0700  122.3533  37.9688  4.55  2.02  71484940
2012-09-21 09:54:45.3200  122.3558  37.9695  5.7  1.9  71845500
2019-01-01 08:16:02.7100  122.3492  37.9707  4.96  2.28  73129051

2011-05-09 07:37:45.5800  122.3123  37.9328  7.76  0.97  71567130
2012-03-08 13:04:51.1800  122.3017  37.9317  7.12  1.08  71744465

2011-05-14 21:07:55.0000  122.2567  37.9795  8.02  1.17  71570135
2011-05-22 07:18:46.1200  122.2522  37.9827  9.75  2.29  71573405
2011-05-23 11:04:55.0000  122.2562  37.986  9.26  1.07  71574000
2011-05-23 18:49:55.0000  122.2567  37.9858  9.03  1.02  71574130
2011-06-05 07:12:35.8400  122.2523  37.983  8.01  0.98  71580385
2011-06-21 04:51:06.8600  122.2582  37.9823  8.45  1.92  71587970
2011-06-30 05:28:45.0300  122.261  37.9813  8.87  2.24  71592750
2011-08-12 13:04:52.1700  122.2602  37.9812  8.72  2.01  71617945

1997-03-30 06:33:58.3800  122.3747  38.0247  7.23  2.47  499975
2012-02-02 03:55:38.7800  122.3952  38.0208  6.39  1.55  71723000
2012-05-12 10:12:20.5600  122.39  38.0243  6.59  2.46  71784306

2014-11-04 06:32:00.5800  122.2812  38.0475  6.08  1.4  72334570
2014-11-04 06:59:55.0000  122.2788  38.0463  5.82  1.12  72334580

1993-07-15 07:12:06.4600  122.3022  37.9285  4.17  2.02  368089
2003-07-04 10:15:32.6900  122.3033  37.9285  4.44  2.06  21290945
2012-06-26 16:00:18.9700  122.3132  37.9235  3.1  2.12  71802440

2007-03-08 09:19:04.2100  122.3475  37.9662  4.88  1.49  51179399
2007-03-09 12:11:52.9800  122.3482  37.9652  6.05  2.57  51179473
2012-05-28 01:27:55.0000  122.3488  37.9638  4.66  2.44  71792421
2017-10-21 12:59:20.8800  122.3453  37.9692  4.2  1.34  72912321

2003-06-01 19:13:51.4500  122.4047  38.0428  4.71  1.7  21284852
1998-05-31 09:45:16.0200  122.3992  38.0388  6.34  1.77  30176489
2007-06-16 15:24:21.0600  122.4142  38.0462  5.84  1.34  51183185
2011-08-21 05:05:44.6300  122.4152  38.0382  6.54  1.53  71623230
2016-05-25 17:03:43.2900  122.4083  38.0407  4.86  1.2  72641811

2011-05-05 09:07:59.3000  122.315  37.9247  2.85  1.64  71565055
2016-02-07 22:09:24.0500  122.312  37.9275  4.79  1.61  72590021

2011-02-04 14:04:48.1700  122.3142  37.9252  1.98  1.32  71524416
2018-05-17 23:22:15.7000  122.3157  37.9265  3.58  1.4  73017295

2007-06-19 00:59:05.1700  122.4147  38.0553  2.51  1.62  51183261
2020-08-22 10:43:34.1800  122.406  38.0562  6.55  1.41  73448191

2008-11-12 16:29:05.8300  122.3022  37.9312  8.21  1.96  51211072
2012-03-12 03:24:30.0500  122.3045  37.9302  8.18  2.02  71746615
2020-09-04 03:40:31.6100  122.2992  37.9302  8.15  2.32  73453256

1998-10-22 19:49:11.9100  122.3055  37.9447  7.21  2.66  30203122
2020-01-15 07:00:39.0900  122.3133  37.9423  6.7  2.62  73327671

2007-06-08 10:47:41.5100  122.3173  37.9533  9.36  1.72  51182685
2012-01-22 09:49:55.0000  122.319  37.947  9.04  1.53  71716505
2019-05-01 16:17:25.8200  122.3128  37.9498  8.8  1.72  73175185

2004-02-14 17:33:19.0800  122.3462  37.972  5.48  2.45  21343147
2014-11-01 18:18:28.8600  122.3508  37.9702  5.86  2.43  72336646

2004-02-13 19:49:31.1500  122.3487  37.9728  5.97  2.71  30227031
2015-04-01 14:07:49.2200  122.3515  37.9702  4.85  2.67  72424451

2006-12-29 03:23:45.8500  122.3242  37.9523  9.05  1.92  51177244
2015-11-17 10:44:35.9500  122.319  37.9503  8.49  1.93  72556751

2018-11-13 08:49:01.2400  122.2985  38.042  7.18  0.77  73110206
2018-11-16 08:28:13.6100  122.3003  38.0467  6.73  1.34  73111511
