start time                lon       lat      depth  mag
1994-02-21 10:57:46.7500  121.7355  37.3815  6.64  1.04  395275
1997-09-28 08:11:28.6900  121.7387  37.3807  6.84  1.28  522948
2000-12-11 18:24:52.0400  121.7372  37.3832  7.07  1.26  21138419
2000-12-13 09:10:16.8500  121.7372  37.3822  6.78  1.26  21138714
1999-06-18 21:57:47.0900  121.734  37.3812  6.25  1.29  30220408

1985-01-14 00:09:09.7300  121.7393  37.3827  6.17  0.96  37383
1986-02-11 07:31:28.4800  121.7403  37.3825  6.22  0.93  66131
1987-05-12 17:51:45.9400  121.7392  37.3845  6.44  0.85  100311
1988-08-17 06:24:14.8500  121.7395  37.3827  6.03  1.24  122452
1989-07-14 17:05:25.9700  121.7393  37.3848  6.31  1.13  140003
1990-09-12 16:17:05.2700  121.7398  37.3843  6.48  1.14  164070
1992-07-26 16:42:21.0900  121.7397  37.3853  6.17  1.22  305272
2001-04-22 16:27:22.0100  121.7398  37.3843  6.05  1.04  21159558
1993-11-26 10:55:52.7100  121.7398  37.3837  6.21  1.21  30035873
1995-03-14 23:23:40.6800  121.7427  37.3855  6.11  0.92  30069797
1996-03-02 22:17:19.9600  121.7393  37.3838  6.33  1.28  30098269
1998-11-14 00:57:26.4400  121.7393  37.384  6.44  1.31  30206071

1985-11-05 14:18:55.7600  121.742  37.3748  2.35  0.93  58347
1989-07-09 07:54:50.4400  121.7505  37.3758  2.31  0.84  139663
1995-01-03 21:00:13.3100  121.7442  37.3752  2.14  1.15  30065592
1998-12-16 07:27:21.8400  121.7425  37.3748  2.08  1.28  30209596

2006-12-17 08:06:32.7200  121.7302  37.3735  6.79  2.22  51176897
2011-06-09 00:16:10.8400  121.7332  37.3725  5.79  2.23  71582255

1988-08-18 22:58:13.5000  121.7333  37.3728  5.65  1.4  122538
1999-11-05 21:15:03.0600  121.73  37.3713  5.6  0.71  21065185
2000-08-11 16:17:31.9100  121.7308  37.374  4.75  1.15  21119461
2003-09-08 05:42:24.6100  121.733  37.3733  6.34  1.28  21306156
2006-08-09 21:11:12.3300  121.7318  37.3713  5.13  0  21531614

1985-01-07 16:42:40.1000  121.735  37.3743  6.2  1.18  36555
1987-10-12 12:44:33.5000  121.7335  37.3758  6.07  0.75  107078
1989-02-12 20:45:21.7200  121.7388  37.3768  6.06  1.25  131295
1990-06-08 16:10:22.1300  121.7322  37.3748  5.98  1.19  159039
1991-11-06 18:41:54.1100  121.7343  37.3748  6.35  1.13  236663
1992-12-15 17:25:10.9300  121.7332  37.3755  6.44  0.9  329314
1996-10-18 02:14:47.2800  121.7323  37.3738  6.19  1.1  482270
2000-12-28 13:38:11.6800  121.7337  37.3757  6.06  1.3  21141109
2003-09-09 20:50:03.4200  121.7327  37.3747  5.59  1.47  21306507
1994-12-16 18:57:36.5700  121.7345  37.3752  6.17  1.39  30064523
1999-03-07 03:49:24.4500  121.7348  37.3745  6.23  1.47  30219342
2008-04-19 06:23:46.4900  121.7338  37.3757  6.05  1.19  40215570
2009-06-08 17:13:52.5000  121.7335  37.3762  6.08  1.33  40237816
2007-02-08 09:45:36.6200  121.7312  37.3755  5.63  0.7  71011971
2011-03-11 10:45:52.4100  121.7335  37.3772  6.82  1.29  71541301

1985-09-09 10:20:11.6800  121.7323  37.3665  5.02  1.1  54791
1988-10-12 12:53:33.6400  121.7328  37.3702  5.06  1.27  125343
1992-11-14 10:12:32.9900  121.7313  37.3667  5.14  1.37  324693
2000-01-17 23:41:34.3200  121.7315  37.3667  5.03  1.41  21078163
2000-10-05 20:39:29.1700  121.732  37.3665  4.99  1.28  21128625
1995-03-28 02:31:06.3400  121.7315  37.3673  5.3  1.15  30070617

1989-08-28 13:16:14.4500  121.736  37.381  6.68  0.84  143138
1990-09-27 12:34:34.4200  121.7377  37.3818  6.64  1.26  164603

2006-10-06 22:59:44.5600  121.732  37.3707  6.12  1.1  30507280
2009-08-03 05:55:36.8100  121.73  37.3707  5.45  1.3  71259396

2003-02-15 17:17:18.8700  121.7343  37.3717  5.42  1.94  21267929
2003-03-23 05:55:47.7000  121.734  37.372  5.43  1.73  21272183

2009-02-28 08:45:47.8600  121.7277  37.3668  7.86  0.88  40232441
2008-07-21 05:34:41.8500  121.7268  37.37  7.13  0.72  71134020
2009-02-28 08:44:22.4700  121.7255  37.372  7.4  0.81  71193925
2009-11-23 22:55:55.9900  121.7255  37.3708  7  0.74  71318361

1985-01-20 22:17:11.5900  121.732  37.3725  6.17  1.53  38034
1988-05-01 14:07:52.0600  121.7335  37.373  6.1  1.46  116478
1989-09-23 23:02:34.2600  121.7362  37.3752  6.05  1.46  144514
1993-01-29 15:58:22.9900  121.7323  37.3737  6.05  1.46  335092
2002-06-30 05:58:06.0500  121.7325  37.3728  5.87  1.61  21232926
2004-11-18 19:36:15.4300  121.733  37.3743  6.59  1.55  21420833
1998-09-29 05:30:13.3400  121.7332  37.373  6.13  1.65  30199525
2009-08-12 01:10:50.1300  121.7317  37.3743  6  1.47  71263796

1999-04-17 16:04:43.1500  121.7395  37.3593  1.46  1.36  21008149
2003-06-06 22:17:27.5400  121.7395  37.3573  2.12  1.34  21286210
2003-06-07 03:51:29.7500  121.7358  37.361  2.28  1.36  21286277

1985-07-02 22:28:20.5300  121.7435  37.3748  2.36  1.19  50533
1992-10-25 07:01:34.6800  121.744  37.3753  2.19  1.15  320927

1986-01-18 07:44:56.2200  121.7292  37.368  8.43  0.64  63912
1990-02-18 13:10:59.1200  121.729  37.3688  8.8  0  152724
1995-03-11 10:12:47.2300  121.7293  37.37  8.2  1  30069631

2007-12-12 11:10:07.1400  121.7285  37.3667  7.17  1.64  40207303
2008-08-02 07:08:14.2800  121.7282  37.3672  7.4  1.03  40221471
2007-11-03 11:06:00.9200  121.7272  37.3662  6.98  0.37  71079185

1985-03-10 22:50:50.3300  121.7385  37.3892  8.57  0.89  43468
