start time                lon       lat      depth  mag
1986-06-03 06:38:39.9100  121.7737  37.4325  9.59  1.47  73917
1989-04-04 00:32:06.2900  121.7728  37.4305  8.98  1.5  133909
1989-07-08 15:51:10.8000  121.7698  37.4305  9.66  0  139629
1989-08-09 15:56:57.6100  121.7708  37.4323  9.12  1.07  141904
1989-08-17 18:08:10.0200  121.7758  37.4315  9.63  1.07  142428
1989-12-15 04:24:12.0400  121.7722  37.4315  9.59  1.11  148912
1990-07-05 05:24:58.2900  121.7707  37.4315  9.3  1.1  160480
1991-06-19 18:37:31.3300  121.7735  37.4307  9.2  1.74  220497
1992-12-17 01:55:33.4900  121.7703  37.4305  9.29  1.14  329399
1994-05-15 08:35:02.1100  121.7733  37.4315  9.64  1.22  402250
1997-01-28 23:48:52.8700  121.7722  37.4312  9.65  1.6  492954
2000-02-28 09:15:50.4300  121.7728  37.433  9.74  1.5  21084561
2003-01-08 11:56:56.7300  121.7702  37.4293  7.98  1.32  21262855
2005-10-12 08:06:29.0000  121.7725  37.4322  9.58  1.19  21489077
2006-09-09 05:14:02.0000  121.7697  37.433  9.54  1.19  21536185
2007-10-31 03:31:57.1600  121.773  37.4302  8.99  1.74  40204639
2007-11-15 21:36:08.4900  121.7732  37.429  8.83  1.61  40205626
2007-12-12 15:52:02.6200  121.771  37.4285  9.08  1.39  40207322
2007-12-18 16:49:14.5000  121.7727  37.43  9.58  2.18  40207661
2008-05-25 08:17:09.4700  121.7735  37.4317  10.13  2.06  40218152
2008-02-25 17:45:39.3800  121.7722  37.429  8.98  1.19  51197119
2008-03-10 18:55:27.7400  121.7698  37.4282  8.5  1.06  51198042
2008-11-12 16:45:53.2400  121.7718  37.4288  8.96  1.99  51211073
2007-12-13 06:26:06.5400  121.7697  37.4357  9.42  0.61  71088770
2009-05-08 19:22:50.1600  121.7713  37.4312  9.54  1.08  71218436
2009-08-10 09:26:35.8500  121.7742  37.4312  10.41  1.65  71262826
2010-03-16 10:37:07.2300  121.7722  37.4315  9.56  1.26  71364105
2010-10-10 05:56:45.2000  121.7738  37.4307  9.76  1.18  71466715
2011-07-30 02:03:57.6100  121.7735  37.4285  9.44  1.42  71610100
2012-07-29 16:36:04.0200  121.7712  37.4342  10.14  1.59  71823631
2013-10-25 09:22:24.5400  121.7733  37.4313  9.57  1.4  72095121
2015-09-21 13:38:15.4200  121.7737  37.4315  9.76  1.51  72524175

1985-12-11 17:13:13.5500  121.817  37.4068  -0.31  1.21  61149
1986-04-05 06:22:08.4600  121.8167  37.4055  -0.4  1.33  69638
1988-03-24 04:37:10.2200  121.8063  37.4092  -0.45  1.22  114413
1996-06-04 12:28:26.6100  121.8148  37.407  -0.44  1.37  30108170
2008-08-16 11:41:13.0500  121.811  37.4103  -0.12  1.32  51207052

1986-04-10 19:30:52.8800  121.7862  37.4388  6.32  1.49  69955
1989-04-20 10:25:11.3000  121.7885  37.4392  6.74  1.54  134864
1992-08-29 08:21:26.5100  121.788  37.4392  6.6  1.51  312675
1997-01-20 13:59:29.3900  121.7908  37.4383  6.81  1.2  491820
1999-06-07 09:10:03.6000  121.7895  37.4378  6.57  1.5  21023237
2003-02-11 11:02:38.4700  121.7898  37.4382  6.53  1.58  21267491
1995-01-16 05:08:33.3500  121.7918  37.44  6.43  1.2  30066297
2007-04-15 16:27:24.9700  121.79  37.4367  5.97  1.6  40195671
2008-09-03 13:41:12.0400  121.7892  37.4378  6.52  1.26  51207649
2010-04-01 05:06:38.3700  121.789  37.4368  6.41  1.6  71376281
2011-11-19 17:37:00.3500  121.7895  37.4383  6.54  1.54  71684026
2013-09-16 14:16:49.1900  121.7893  37.438  6.78  1.48  72071511
2016-03-03 18:15:03.1100  121.7912  37.4395  6.02  1.46  72601600
2018-07-12 11:15:28.2700  121.7895  37.4383  6.54  1.47  73043771
2020-04-25 11:15:27.8100  121.7888  37.4403  6.77  1.27  73376220

1987-01-01 23:26:13.5700  121.7763  37.4325  7.93  1.69  91536
2000-05-13 05:51:57.0900  121.7767  37.4335  8.42  2.03  21097252

2008-06-28 11:08:53.9400  121.7772  37.4335  7.84  0.71  71129020
2009-07-12 17:09:48.5100  121.7787  37.4337  8.24  0.74  71247501

1986-10-19 15:59:56.5700  121.7735  37.4345  8.41  1.07  86022
1988-03-25 12:55:43.7000  121.7785  37.432  8.62  1.1  114497
1988-06-22 18:29:56.5700  121.774  37.4365  8.04  1.07  119418
1989-04-10 02:24:36.9500  121.7757  37.4333  8.05  1.63  134262
1990-01-07 15:15:11.7400  121.7755  37.4358  8.2  1  150264
1991-06-01 13:39:48.5300  121.7773  37.433  8.04  1.06  217441
1991-08-13 18:46:21.7400  121.7767  37.432  8.17  1.21  227722
1994-02-14 17:29:04.6100  121.7765  37.4337  8.26  1.47  394809
1999-08-28 06:04:32.6400  121.7757  37.4335  8.23  1.19  21048275
2000-04-03 06:08:35.3600  121.7773  37.4342  8.57  1.64  21089928
2003-08-28 08:18:35.9900  121.779  37.4322  8.25  1.32  21303461
1995-07-28 10:38:37.7900  121.7753  37.4327  7.99  1.19  30078390
2007-10-31 19:41:24.2400  121.777  37.4322  8.2  2.18  40204707
2007-11-04 10:41:35.0400  121.775  37.4317  8.1  1.51  40204962
2007-11-13 16:11:13.5200  121.776  37.4327  8.03  1.28  40205501
2007-11-15 23:33:23.2000  121.7775  37.433  8.68  2.42  40205632
2007-12-12 23:38:54.2600  121.7753  37.4303  7.58  1.06  40207345
2008-04-04 04:31:43.4000  121.778  37.4348  8.2  1.76  40214542
2009-06-06 08:07:58.3800  121.7762  37.4328  7.72  1.49  40237710
2007-12-19 17:45:40.4200  121.7768  37.4317  7.67  1.89  51192820
2008-04-01 20:29:34.4100  121.7763  37.4318  7.52  1.71  51199522
2009-05-16 08:52:20.6300  121.7773  37.4325  8.75  1.93  51221676
2007-11-06 14:02:19.8800  121.7768  37.4328  7.99  0.45  71080205
2007-12-10 11:04:24.9000  121.776  37.4332  7.89  0.45  71088250
2008-01-21 16:51:52.4700  121.7765  37.4333  7.66  0.68  71095251
2008-08-03 13:48:32.3600  121.7748  37.433  7.5  0.85  71137750
2008-08-20 12:54:15.0800  121.7758  37.433  7.89  0.67  71144036
2009-03-08 11:59:06.6400  121.776  37.4328  7.78  0.71  71195400
2010-06-14 22:03:12.4900  121.7768  37.432  8.39  1.61  71415326
2011-03-30 03:44:15.6300  121.7725  37.4362  8.84  1.47  71544535
2012-01-17 03:15:42.6700  121.775  37.4323  9.22  2.32  71718691
2012-08-11 13:38:30.2300  121.7772  37.4313  7.92  1.28  71829751
2015-01-30 20:42:48.7700  121.779  37.433  7.96  1.88  72389241
2018-05-03 02:13:44.2200  121.777  37.4333  8.52  1.85  73009681
2018-08-26 04:25:06.7600  121.7767  37.4332  8.09  1.47  73075880

1987-05-20 22:17:26.0800  121.7798  37.44  8.41  1.06  100732
1990-12-01 08:22:24.3100  121.7817  37.4402  8.87  1.06  201599
1992-12-02 19:10:09.0000  121.7827  37.4422  8.64  1.06  327629
2000-04-01 16:35:06.3300  121.7822  37.4393  8.64  1.19  21089625
2005-01-20 09:13:44.8700  121.7798  37.4367  8.04  1.19  21434550
1997-05-08 10:16:03.8100  121.7797  37.4385  8.55  1.2  30133129
2007-09-06 19:26:32.9100  121.779  37.438  7.83  0.7  71063550
2008-02-17 01:44:02.8100  121.7808  37.4365  7.49  0.87  71099656
2008-07-07 06:57:19.9300  121.7797  37.4395  7.72  0.76  71131075
2009-01-18 09:03:21.2400  121.7817  37.4383  8  1.13  71184925
2009-10-09 08:10:08.9200  121.7783  37.4362  7.44  1.03  71296771
2010-05-17 15:34:33.6800  121.7795  37.4373  7.93  0.77  71399896
2011-01-21 02:22:00.2700  121.7803  37.4378  7.95  0.84  71512715
2012-03-21 22:13:45.6000  121.7795  37.4383  8.03  0.85  71751605
2014-11-01 06:48:36.5400  121.7787  37.437  8.67  1.03  72336446
2016-03-02 05:45:21.5200  121.782  37.439  8.14  0.76  72600835

1984-06-26 22:11:30.7700  121.826  37.4098  0.52  1.56  21649
1985-12-14 11:48:22.2900  121.8245  37.4138  -0.29  1.6  61587

1984-06-25 10:41:33.4900  121.8155  37.417  -0.11  2.07  21512
2002-07-15 09:14:43.1500  121.815  37.4148  1.03  1.99  21235484
1995-09-18 12:00:52.8000  121.817  37.413  -0.47  2.13  30084499
2007-03-14 12:14:29.8900  121.8183  37.4122  -0.25  2.12  40194552
2016-01-12 11:52:59.8400  121.8065  37.4138  -0.14  2.13  72578866

