start time                lon       lat      depth  mag
1999-12-01 17:23:48.9100  122.289  37.9323  8.68  2.34  21069641
2012-03-12 14:55:30.5100  122.3003  37.9288  7.68  2.29  71746890
2018-02-15 19:52:55.0000  122.3018  37.9278  8.4  2.39  72970126

1985-05-06 01:08:05.4100  122.2932  37.9233  1.06  1.96  47300
1993-07-31 12:19:04.5400  122.294  37.9143  4.43  1.79  372750
1997-10-19 17:23:53.3500  122.2937  37.9135  3.71  1.67  527281
2006-10-17 10:22:54.6800  122.3033  37.9153  3.06  1.88  21543109
2001-09-18 15:08:59.2900  122.2857  37.9195  5  1.49  30223517
2011-11-15 22:06:26.0700  122.3022  37.9098  1.87  1.47  71681986
2012-07-21 19:18:55.0000  122.301  37.9125  1.35  1.75  71819721
2019-09-27 01:59:55.0000  122.3003  37.9148  1.62  1.84  73281555

1992-01-15 14:50:10.8800  122.2453  37.8808  9.36  1.97  244515
2000-01-14 21:37:43.2600  122.2448  37.881  9.63  2.12  21077591
2006-11-06 16:41:22.7800  122.2462  37.8818  10.37  2.03  51175737
2012-08-27 01:51:55.0000  122.2538  37.875  8.88  2.05  71837961
2017-12-25 16:08:30.4600  122.2553  37.8787  9.11  1.47  72944251
2019-03-02 15:39:55.0000  122.2518  37.8795  9.36  1.86  73147286

2015-08-17 13:51:55.0000  122.2225  37.8343  4.95  1.62  72507401
2015-08-17 13:54:55.0000  122.222  37.8372  5.42  1.81  72507406
2015-08-17 13:54:55.0000  122.2213  37.8357  4.93  1.56  72507411

2016-11-03 01:26:15.5300  122.2222  37.8768  10.24  2.03  71105069
2016-11-03 01:26:14.5000  122.2148  37.8828  10.91  0  72719580

2017-07-09 11:37:55.0000  122.1843  37.9123  1.62  0.5  71106904
2017-07-09 11:37:55.0000  122.192  37.9  2.11  0.7  72832281

2017-08-30 04:18:07.2200  122.1938  37.9137  9.27  1.46  72881370
2017-08-30 14:32:42.5600  122.1948  37.9147  9.17  1.69  72881935

2017-08-29 18:03:55.0000  122.1957  37.9165  8.72  1.51  72880950
2017-08-29 18:16:04.4400  122.1955  37.9175  9.36  1.85  72880980

2017-08-13 16:11:43.7200  122.1958  37.9133  9.24  2.03  72868516
