start time                lon       lat      depth  mag
2010-11-18 20:53:53.8100  122.0338  37.7742  4.27  1.53  71484990
2012-06-14 11:06:09.7200  122.033  37.7752  4.46  1.53  71800901

2015-07-28 17:19:30.8300  122.2055  37.7863  11.7  2.24  72496041
2015-07-29 09:44:55.0000  122.2058  37.7873  12.05  1.82  72496411

2016-12-22 04:33:55.0000  122.0983  37.7257  10.91  2.14  72742435
2016-12-22 07:18:47.4600  122.0975  37.7238  10.2  1.84  72742505

2001-11-30 16:59:43.7000  122.0872  37.7075  8.8  1.5  21204376
2001-12-01 13:29:47.9700  122.0875  37.7103  8.28  1.13  21204430

2002-07-14 16:24:20.5500  122.0648  37.7525  3.72  1.35  21235408
2002-08-12 11:07:45.2600  122.072  37.7502  3.9  1.35  21240105

2006-03-06 01:47:44.1500  122.0683  37.8115  12.13  1.86  21508358
2006-02-18 12:40:02.9900  122.0695  37.8115  11.73  1.71  30507134

2006-02-19 01:34:51.3800  122.0687  37.8103  11.29  1.41  21506684
2006-02-19 05:35:35.2900  122.0663  37.81  10.84  0  21506690

2006-03-22 03:50:06.9700  122.0685  37.8132  11.65  2.01  21510168
2006-03-22 05:32:44.0000  122.0667  37.8128  11.58  2.03  21510183

1994-10-24 13:10:46.8100  122.13  37.7343  3.8  1.83  30061236
1995-11-13 07:42:22.9100  122.129  37.733  3.66  2.01  30089653

1989-01-10 17:57:43.8300  122.0547  37.7863  11.25  1.89  129766
1989-01-14 06:11:44.5800  122.0535  37.7862  11.22  1.61  129924
