start time                lon       lat      depth  mag
1984-04-24 23:49:32.1800  121.6548  37.2762  4.97  1.7  17493
1984-05-04 11:09:58.1800  121.6563  37.2773  5.2  1.51  17703
1984-06-06 07:46:19.6000  121.656  37.2777  4.63  1.67  20231
1984-07-30 04:01:54.2600  121.6548  37.2765  4.97  1.58  24480
1984-12-24 07:22:03.0800  121.6568  37.2772  5.28  1.65  35295
1985-09-28 08:56:17.6500  121.657  37.2775  5.29  1.65  55954
1987-01-13 19:59:54.5400  121.657  37.2775  5.45  1.53  92466
1988-10-04 06:41:33.2400  121.6567  37.2775  5.45  1.58  124904
1991-05-01 22:58:44.4800  121.6562  37.2773  5.2  1.64  211711
1994-12-10 03:27:23.9300  121.6553  37.277  5.18  1.55  30064132
1998-06-15 21:36:55.7600  121.6553  37.2783  5.24  1.68  30179796
2009-07-08 09:52:15.8200  121.6547  37.2777  4.77  1.51  71245416

1984-04-25 12:35:07.6500  121.6627  37.2848  5.26  0.88  16569
1984-05-07 16:34:13.2300  121.6612  37.2853  5.43  1.34  17794
1984-06-04 16:23:29.1900  121.6628  37.2845  5.36  1.13  20113
1984-07-26 18:39:49.1900  121.6615  37.2852  5.18  0.36  24089
1984-12-19 08:29:34.0100  121.6617  37.284  5.17  1.4  34841
1985-12-12 07:33:37.3300  121.6622  37.2848  4.95  1.24  61248
1986-11-14 11:55:10.6100  121.6618  37.2843  5.45  1.1  87964
1988-11-07 17:51:17.3700  121.6623  37.285  5.3  1.23  126560
1990-05-11 22:59:22.3500  121.6615  37.2852  5.26  1.06  157486
1991-06-22 16:36:37.9500  121.6615  37.2842  5.48  1.24  220702
2005-10-30 19:40:14.2200  121.661  37.2848  5.2  1.2  21492545
1995-04-26 17:54:09.0700  121.662  37.2848  5.69  1.18  30072363
1997-12-19 02:47:51.8600  121.6612  37.2855  5.23  1.51  30175906
2009-05-20 01:10:23.5300  121.6593  37.2838  4.63  1.03  71222696

1984-05-22 11:29:05.7400  121.6542  37.2755  4.36  0.75  19113
1984-06-30 11:03:37.1400  121.6548  37.2763  5.05  0.97  21823
1984-08-14 14:49:38.5000  121.6542  37.2755  4.1  0.97  25598
1984-10-19 05:29:33.8100  121.6552  37.2753  4.27  0.95  30283
1985-01-14 05:55:40.4500  121.655  37.2745  4.21  0.96  37397
1985-04-15 06:35:43.6900  121.654  37.275  4.06  0.96  46117
1985-08-30 23:53:17.8000  121.6552  37.276  5.15  1.03  54469
1986-01-24 06:59:46.6300  121.6557  37.2767  5.14  0.98  64338
1986-06-07 09:37:24.5400  121.6535  37.2748  4.94  0.95  74155
1987-03-02 02:19:39.7100  121.656  37.2753  5.16  1.05  95886
1987-12-09 21:52:21.4400  121.6548  37.2753  4.34  0.95  109707
1988-08-03 17:34:17.8400  121.655  37.2752  4.59  0.94  121634
1989-03-27 14:00:25.4600  121.6538  37.2752  4.13  1.02  133521
1990-02-10 20:42:52.4500  121.6545  37.2757  4.33  1.01  152228
1991-12-27 03:37:02.5000  121.6547  37.2752  4.48  0.99  241947
1993-03-10 14:11:40.8200  121.6537  37.275  4.57  1.23  339972
1994-03-21 01:51:38.4000  121.6537  37.2752  4.68  1.07  398298

1988-03-16 23:10:06.0000  121.664  37.2855  5.72  2.53  114006
1994-09-17 17:57:00.9000  121.6633  37.2855  5.75  2.51  30057908

1984-04-26 02:27:44.5500  121.66  37.2878  8.51  2.08  17935
1984-05-28 22:16:19.9400  121.6587  37.288  8.55  2.15  19615
1984-07-09 12:29:01.9000  121.6592  37.2883  8.71  2.11  22407

1986-09-26 18:02:53.1300  121.6555  37.2815  8.37  0.8  83890
1987-08-11 12:55:15.4100  121.6567  37.2827  8.46  0.98  104396
1988-11-16 20:12:29.1100  121.6563  37.2825  8.35  0.98  127043
1991-03-11 08:45:32.0400  121.656  37.2813  7.89  1.24  207856

1993-10-03 06:31:27.1400  121.647  37.2758  9.22  1.03  30030522
1995-10-14 03:10:41.5100  121.6475  37.275  8.56  1.18  30086954

1984-12-10 19:55:27.3400  121.6558  37.2678  1.77  1.39  34005
1986-11-20 03:48:25.7600  121.6552  37.2685  1.76  1.44  88339
1989-05-08 07:30:26.9900  121.6557  37.2682  1.91  1.32  135753
1990-06-21 21:42:02.1100  121.6553  37.2695  1.7  1.25  159770
2000-01-17 09:35:41.3700  121.6555  37.2682  1.76  1.43  21078037

1984-05-05 03:31:54.2200  121.666  37.2872  5.14  2.54  17526
1990-03-11 11:52:34.1400  121.6663  37.2882  5.54  2.44  154124
1996-11-02 12:22:51.6300  121.6662  37.2883  5.82  2.44  483500
2000-06-15 13:32:13.2100  121.6658  37.2888  6.14  2.36  21103937

1985-03-06 06:44:33.0200  121.6552  37.2758  5.35  2.66  42964
1988-11-16 22:30:05.7200  121.6562  37.2767  5.65  2.59  127042

1984-06-07 10:38:41.3200  121.6572  37.2803  5.31  1.61  20318
1984-09-26 03:43:13.9100  121.6585  37.2808  5.5  1.58  28606
1985-07-03 02:32:09.6500  121.6592  37.2813  5.73  1.16  50546

1984-05-04 14:38:23.1700  121.6547  37.2828  7.61  1.85  17714
1984-08-15 21:01:40.8800  121.6563  37.2837  7.89  1.8  25710

1985-03-06 10:25:31.7600  121.6678  37.2865  1.51  1.21  42967
1985-03-06 10:25:42.0500  121.6685  37.2853  1.67  1.68  43148
1987-01-12 16:52:39.7500  121.6683  37.2863  1.54  1.27  92425
1988-08-12 00:10:23.5700  121.6692  37.2843  1.78  1.65  122184
1990-04-13 02:21:12.5000  121.6693  37.2858  1.6  1.56  155869
1991-05-28 04:59:53.6100  121.6677  37.2863  1.48  1.32  215363
1996-11-04 07:58:24.4500  121.6685  37.2862  2.07  1.68  483615
1999-12-07 03:42:51.9200  121.6693  37.2857  1.78  1.69  21070778
2002-04-11 18:07:19.8100  121.6675  37.287  1.31  1.33  21221071
2005-12-09 05:57:01.0500  121.6653  37.2873  1.25  0  21498746
2005-12-09 06:46:25.2400  121.6668  37.2853  1.68  1.14  21498754
2004-03-13 01:49:08.7700  121.6675  37.2868  1.6  1.53  30227198
2007-05-12 01:52:42.1300  121.6662  37.2852  1.68  1.58  51181814
2009-03-11 12:41:38.0700  121.6678  37.286  1.29  1.09  71196836

1984-04-27 04:32:44.3000  121.6553  37.281  9.35  0.82  16739
1984-05-10 18:20:34.4600  121.651  37.2748  6.55  0.92  18043
1984-06-05 23:13:18.4000  121.655  37.2795  8.42  0.99  20207
1984-07-19 21:36:10.5600  121.6538  37.2788  8.36  0.81  23387
1984-10-09 14:20:55.2100  121.6558  37.282  9.37  0.68  29756

1984-04-24 23:00:25.6600  121.654  37.2758  5.5  1.11  16498
1984-04-28 06:15:14.0000  121.6545  37.2755  5.63  1.27  16847
1984-05-06 09:47:40.7400  121.6568  37.2758  5.82  1.12  17602
1984-05-18 05:53:55.1100  121.6538  37.2755  5.08  1.36  18812
1984-06-15 19:19:45.8000  121.6542  37.276  5.4  1.32  20955
1984-07-30 20:15:05.6200  121.6528  37.2755  4.98  1.29  24553
1984-09-05 02:24:45.8300  121.6563  37.279  5.68  1.01  27261
1984-12-23 05:36:32.7400  121.655  37.276  5.57  1.28  35221
1985-04-08 04:29:47.5300  121.6548  37.276  5.42  0.98  45618
1985-08-18 05:30:43.7400  121.6557  37.2762  5.64  1.15  53225
1986-02-13 11:08:52.7800  121.6555  37.2813  5.46  1.34  66407
1987-02-25 23:35:24.2400  121.6552  37.2763  6.06  1.14  95481
1989-04-04 04:44:24.9300  121.6547  37.2765  5.4  0.97  133915
1991-03-13 03:08:31.5200  121.6533  37.2752  4.98  1.3  207943
1991-10-01 19:39:38.7400  121.6553  37.274  5.21  0.96  232705
1997-09-08 03:53:15.1900  121.654  37.2752  6.26  1.37  520304
