start time                lon       lat      depth  mag
1994-04-22 21:23:50.9400  121.9253  37.5477  6.59  1.47  400926
1999-03-11 19:40:00.9200  121.9265  37.5445  6.59  1.46  30219638
2007-07-06 03:17:52.7200  121.9295  37.5432  5.62  1.52  51183846
2011-06-08 14:03:41.0300  121.9278  37.543  6.02  1.52  71581970

2006-08-06 08:25:34.6000  121.8295  37.477  6.84  0.96  21530891
2009-02-28 08:27:02.5600  121.83  37.4778  7.19  0.67  71193920

1988-11-05 08:17:00.0600  121.9015  37.5188  5.92  0.84  126496
2001-12-09 08:00:07.2300  121.891  37.5253  5.92  0.91  21205105

2007-09-12 17:07:27.5600  121.93  37.5425  5.77  1.55  40201713
2011-07-03 10:40:00.1500  121.934  37.5463  6.63  1.52  71594520
2015-02-16 22:12:08.5300  121.9347  37.5432  5.6  1.46  72395640

1984-04-25 19:13:14.2200  121.8777  37.5677  6.28  1.36  16602
1988-02-15 07:54:50.9700  121.9253  37.5448  6.38  1.46  112460
1992-03-21 01:35:37.4600  121.926  37.5465  6.71  1.51  258854
1999-11-20 15:50:26.3500  121.9255  37.5455  6.46  1.59  21068003
2003-08-28 02:33:40.9000  121.9287  37.5465  6.43  1.49  21303359
1996-03-07 05:30:55.1600  121.9267  37.5472  6  1.6  30098600

2009-08-29 08:54:06.0700  121.8303  37.4782  7.12  0.85  71273026
2009-10-23 17:03:13.6100  121.8278  37.4798  7.18  0.8  71298620

1986-02-08 08:41:20.5000  121.8312  37.4762  7.34  0.84  65910
1988-02-27 09:34:54.6200  121.8298  37.474  7.48  0.56  113002
1989-04-21 10:29:00.0600  121.8387  37.4762  7.05  0.72  134912
1995-10-16 03:36:50.3500  121.8297  37.4777  7.5  1.21  30087114

1985-06-05 07:48:55.8000  121.9155  37.5345  5.77  1.58  49005
2000-05-22 07:15:22.4300  121.9133  37.5393  5.71  1.87  21099308

1985-05-18 11:16:47.5800  121.9337  37.559  5.57  1.37  48050
1990-02-11 18:44:14.7200  121.9382  37.5545  4.69  1.42  152264
2000-03-16 01:04:07.2900  121.9353  37.556  5.41  1.34  21086789
1994-11-02 10:24:23.5800  121.9382  37.5578  6.68  1.42  30061908

1985-12-25 18:17:14.9900  121.9243  37.5483  4.41  1.05  62176
2002-03-04 14:39:27.8700  121.9253  37.5478  3.91  1.18  21215102

1985-11-30 09:13:06.0300  121.8283  37.5378  3.62  1.28  60249
1985-11-30 09:42:54.1000  121.8285  37.5362  3.23  1.68  60250

