start time                lon       lat      depth  mag
1987-05-27 22:59:34.9500  121.822  37.4678  6.9  1.16  101030
1990-09-04 05:53:56.2900  121.8188  37.4692  6.84  1.28  163644
1993-10-14 02:57:03.5700  121.8207  37.4692  7.01  1.11  30031803
2009-06-23 13:40:33.6800  121.8222  37.4677  7.34  1.32  40238662

1985-09-13 01:13:48.0700  121.8078  37.468  4.2  1.88  55043
2006-05-03 18:02:16.6800  121.8065  37.4672  3.9  1.96  21515351

2016-05-13 17:06:58.3400  121.8137  37.4582  5.7  2.42  72635245
2019-10-06 01:12:37.5100  121.814  37.458  5.67  2.01  73287085

1989-08-23 07:42:22.2600  121.7923  37.4742  7.13  0.95  142796
1989-09-09 17:49:06.8900  121.7903  37.4747  7.62  1.7  143811

1987-10-26 22:14:19.6300  121.8112  37.435  1.15  1.64  107657
1987-10-30 10:07:04.4500  121.8112  37.4332  1.8  1.33  107822

1988-09-11 05:26:38.7800  121.8437  37.4383  2.61  1.36  123555
2006-05-05 04:27:36.6500  121.8427  37.435  1.95  1.39  21515590
1995-12-04 10:52:40.9200  121.846  37.4372  2.45  1.32  30091246

1987-03-06 05:43:55.3900  121.8073  37.4623  5.41  1.09  96207
1990-08-25 20:22:50.4700  121.8077  37.4652  5.46  0.94  163214
1995-06-13 10:22:38.8800  121.8057  37.4642  5.57  1.25  30074844
2010-03-22 08:27:37.3600  121.8073  37.4628  5.42  1.02  71366935

1986-08-02 04:29:11.4200  121.8238  37.4323  1.38  1.06  77973
1986-08-01 13:01:38.8500  121.8185  37.4417  1.35  1.19  85537

1989-02-02 08:48:42.7000  121.8008  37.4665  2.95  2.27  130780
2011-04-26 14:47:37.1100  121.8005  37.4652  3.1  2.25  71565931

1988-09-25 08:29:49.9700  121.8073  37.467  4.27  1.35  124219
1999-06-11 13:12:35.7400  121.8075  37.467  4.41  1.25  21024650
2007-12-26 07:47:57.0100  121.807  37.4667  4.03  1.12  51193220

1985-12-13 13:42:38.8100  121.8135  37.4595  6.1  1.08  61349
