start time                lon       lat      depth  mag
1987-05-08 15:52:41.2100  121.7183  37.3417  0.78  1.78  100053
1989-05-11 00:16:09.9800  121.719  37.3438  2.29  1.05  135912
1993-06-10 16:06:40.1100  121.7163  37.3415  -0.32  1.85  354047
2003-02-13 17:03:37.5200  121.7155  37.3407  2.13  1.61  21267729
1997-07-21 16:46:55.8100  121.718  37.3408  0.33  1.78  30138258
2006-12-17 10:37:23.0900  121.7158  37.343  1.64  1.73  51176901

1987-02-18 10:09:03.7800  121.7015  37.333  7.3  1.69  94971
1987-11-18 05:47:15.9500  121.701  37.334  6.78  1.58  108570
1985-08-30 05:58:18.9100  121.7012  37.3333  6.95  1.58  1130878

1985-06-09 15:02:25.9900  121.7012  37.3342  7.29  1.7  49264
1998-07-22 00:00:08.3300  121.7015  37.3352  6.78  1.77  30186299

1985-06-24 02:01:26.8300  121.7028  37.3368  7.28  0.7  50059
1986-11-01 14:53:36.6800  121.7052  37.3382  6.5  1.73  87011
1987-05-17 01:16:55.4000  121.7053  37.338  7.68  0.87  100529
1988-02-17 06:56:48.1400  121.7052  37.338  7.33  1.57  112440
2000-07-03 22:21:33.2600  121.7038  37.3373  7.24  1.57  21107647
1996-07-09 00:54:56.5900  121.7043  37.3373  7  1.4  30112416

1993-10-07 04:48:11.7200  121.7097  37.344  7.83  1.31  30030988
1994-08-31 07:38:38.1400  121.7095  37.3438  8.23  1.09  30056303

1984-09-26 21:34:17.5600  121.705  37.3378  8.04  0.75  28813
1985-08-13 20:47:08.3800  121.7045  37.3363  7.16  1.27  52900

2001-09-07 02:02:09.5300  121.7015  37.3362  7.7  1.37  21193017
2003-03-10 15:45:20.8600  121.7042  37.3352  8.04  1.15  21270672
2003-03-10 16:12:10.8500  121.7023  37.3352  6.62  1.72  21270680
2003-03-10 16:13:46.5900  121.7017  37.3357  7.17  1.55  30225515

1984-12-23 20:48:16.1000  121.7068  37.3387  7.95  0.66  38831
1993-01-30 17:28:48.0300  121.7052  37.3378  7.46  1.26  335193
1995-02-24 04:39:26.5800  121.7037  37.3375  7.65  1.01  30068525

2008-01-04 13:03:49.5000  121.7058  37.3483  8.92  1.81  51193978
2008-02-25 02:59:18.5800  121.7077  37.3423  7.96  1.13  51197087
2010-09-07 03:24:46.2400  121.7078  37.341  7.53  0.84  71451715

