start time                lon       lat      depth  mag
1999-02-04 14:33:55.0000  122.032  37.6382  3.29  1.36  595869
2003-09-03 15:34:17.9900  122.0343  37.6403  4.17  1.32  21304709

1985-05-25 01:26:13.0500  122.0335  37.6407  4.34  1.53  48484
1994-05-15 08:20:47.1800  122.031  37.6368  2.91  1.43  402249
2003-10-15 11:07:52.1500  122.0423  37.6357  2.68  1.65  21312862
1999-01-30 11:15:36.4000  122.0308  37.638  3.06  1.35  30215413
2011-05-20 08:56:51.9500  122.046  37.6332  2.25  1.73  71572585

1986-03-05 23:09:58.1100  122.0398  37.6428  3.45  1.73  67624
1989-09-22 05:17:12.6400  122.0337  37.6425  3.55  1.39  144381
1999-03-30 02:42:18.2700  122.0377  37.642  2.32  1.5  21005875
1993-09-15 12:35:55.2800  122.0393  37.6423  2.13  1.26  30028490

1987-06-09 10:34:41.4200  122.0477  37.6488  4.51  1.58  101625
2002-06-07 02:34:02.1000  122.048  37.6425  1.42  2.1  21229078
1994-08-07 13:52:12.4900  122.05  37.646  1.67  1.61  30054514
1994-08-07 13:55:28.8300  122.0492  37.6462  1.9  1.69  30054516

2015-01-26 08:43:26.0800  121.9887  37.6733  -0.21  1.05  71089459
2015-01-26 08:43:11.3800  122.0528  37.6422  1.16  1.32  72386356

1987-06-10 04:02:34.5700  122.0472  37.6475  4.19  1.91  101651
1998-04-18 23:30:17.4000  122.052  37.646  0.75  1.81  567975
2003-09-17 13:14:38.7500  122.052  37.6432  1.47  1.86  21307682
2010-09-28 06:04:11.9900  122.053  37.6467  3.38  1.98  71461120
2015-01-23 22:17:33.4200  122.0523  37.6407  0.97  1.72  72385371

1987-08-25 11:08:23.8000  122.051  37.6653  5.14  1.11  105040
1993-10-01 04:09:28.5800  122.0577  37.6635  5.58  1.27  30030284

1988-05-24 17:48:26.1100  122.0392  37.6507  5.59  1.61  117844
1988-05-24 18:12:34.0300  122.0378  37.6507  5.43  1.36  117874
1998-01-24 18:47:55.0000  122.0417  37.649  5.35  1.66  553345
1998-01-25 00:16:41.6500  122.0388  37.6498  5.2  1.44  553381

1985-12-17 09:18:30.2800  122.036  37.6492  5.5  1.19  61659
