start time                lon       lat      depth  mag
2006-01-13 06:57:54.5100  121.675  37.2927  1.94  1.14  21502779
2007-03-31 05:18:21.7100  121.6732  37.2928  1.89  0.84  71021065

1985-09-05 00:59:50.5800  121.6783  37.295  1.42  0.89  54594
1986-09-04 11:39:18.3300  121.6767  37.2947  1.23  0.83  81235
1986-09-15 20:27:45.6600  121.6757  37.2943  1.52  0.88  82607
1987-05-08 11:40:30.0000  121.6795  37.2957  1.26  0.75  100032
1988-06-18 08:32:31.5000  121.6772  37.2948  1.62  0.83  119206
1988-07-06 17:36:10.4000  121.6735  37.2957  1.25  0.42  119994
1989-07-16 18:39:59.4400  121.6783  37.2958  1.29  0.84  140142
1991-03-31 08:34:28.5800  121.6765  37.2943  1.67  1.08  209464
1992-04-17 07:50:02.1500  121.678  37.2952  1.54  1.01  265322
1992-04-19 10:17:56.3800  121.682  37.2932  1.25  0.98  265440
1993-12-15 03:10:06.1700  121.6772  37.2953  1.36  1.08  30037587

2008-09-15 01:25:54.0000  121.6737  37.2917  1.2  0.86  71150866
2010-02-18 18:57:39.5200  121.67  37.2903  1.42  0.84  71356436

1984-05-17 17:06:13.6200  121.6745  37.2927  1.84  1.14  18738
1984-12-17 06:59:42.8700  121.6745  37.2933  1.87  0.95  34558
1985-08-20 05:59:32.5900  121.675  37.2943  2.09  0.75  53283
1986-01-19 11:35:13.1900  121.6752  37.2932  1.82  0.89  63956
1986-06-29 17:17:23.4600  121.6757  37.2927  1.68  0.91  75590
1986-11-29 11:32:54.3700  121.677  37.2945  1.58  0.69  88885
1987-05-23 08:43:19.2400  121.6755  37.2937  1.73  0.87  100842
1987-12-06 18:48:18.7500  121.6738  37.2933  1.69  0.91  109588
1989-03-21 08:11:20.5700  121.6728  37.2912  2.1  1.09  133170
1990-11-23 20:35:59.6700  121.6742  37.2932  1.94  1.25  200736
1991-06-21 09:55:46.8800  121.679  37.2918  1.77  0.84  220630
1992-04-12 18:58:19.8700  121.676  37.2932  1.81  1.03  263454
1994-06-05 11:32:36.9300  121.6758  37.2942  1.84  1.01  403338
1993-10-14 09:06:34.2900  121.6748  37.2932  2.15  0.99  30031821
1995-08-17 16:23:03.8300  121.6755  37.2935  1.71  1.17  30080427

2001-09-11 22:53:12.4800  121.6737  37.2933  1.49  1.19  21193669
2002-09-02 09:16:41.2800  121.684  37.2987  1.19  1.14  21243232
2003-10-25 02:56:39.0300  121.677  37.2928  2.07  1.14  21314825
1999-01-25 00:16:10.6100  121.6753  37.2935  1.78  0.92  30214906

1984-04-28 20:33:58.2600  121.6762  37.2945  1.57  1.59  16890
1984-04-28 21:08:28.6900  121.6775  37.2945  1.34  1.52  16893
1984-05-17 16:51:48.5400  121.675  37.2955  1.46  1.3  18733
1984-07-27 23:19:22.1900  121.6742  37.293  1.48  0.97  24241
1984-08-08 00:17:03.2900  121.6763  37.2933  0.92  1.95  25144
1984-08-09 21:49:46.1800  121.6772  37.294  1.6  0.95  25286
1984-08-16 05:52:16.5400  121.678  37.2937  1.31  1.66  25733
1984-12-17 11:07:37.1600  121.676  37.2933  1.7  1.23  34692
1985-01-12 07:59:17.1500  121.6767  37.2935  1.61  1.92  37098
1985-01-12 13:00:30.1300  121.6773  37.2953  1.36  1.69  37106
1985-01-12 15:23:03.8800  121.6772  37.2947  1.56  1.43  37188
1985-01-12 22:42:41.2900  121.677  37.294  1.55  1.89  37224
1985-01-13 05:00:55.0900  121.6777  37.2942  1.45  1.12  37245
1985-11-12 07:09:22.5400  121.6757  37.2932  1.7  1.74  58784
1985-11-12 07:18:21.8000  121.6765  37.2938  1.5  1.42  58786
1985-11-18 07:04:53.5800  121.6798  37.295  1.42  1.09  59267
1985-11-18 08:02:28.1400  121.6775  37.294  1.4  1.59  59269
1985-11-17 19:13:08.0200  121.6757  37.2937  1.37  1.93  59288
1985-12-14 08:48:54.2400  121.6778  37.2943  1.47  0.69  61439
1986-02-24 10:07:28.6000  121.6787  37.295  1.78  1.66  67480
1986-03-07 08:48:27.2000  121.6765  37.2942  1.24  1.71  67694
1986-03-20 20:07:20.1400  121.6772  37.2938  1.66  1.96  68407
1986-04-30 07:19:02.8500  121.6767  37.294  1.5  1.23  71429
1986-05-20 11:45:08.9000  121.6753  37.2937  2.49  1.05  73003
1986-06-06 12:32:44.7100  121.6755  37.2928  1.55  1.42  74103
1986-08-25 04:38:10.0300  121.6757  37.2937  1.66  0.93  81978
1987-03-04 04:00:38.9000  121.6782  37.294  0.82  1.34  96062
1987-03-10 16:55:31.7100  121.6777  37.2948  1.16  1.48  96420
1987-03-11 13:29:49.8700  121.6738  37.294  2.4  1.48  96485
1987-04-20 09:58:24.1400  121.6753  37.2937  1.62  1.11  98940
1987-05-02 06:00:03.1100  121.6775  37.2937  1.58  1.73  99638
1987-05-25 20:32:31.4500  121.6787  37.294  1.57  1.53  100917
1987-06-23 23:30:32.7500  121.677  37.2937  1.36  1.87  102254
1987-11-14 10:14:36.2100  121.6775  37.2938  1.58  1.57  108409
1987-11-30 08:16:04.4000  121.677  37.2943  1.59  1.82  109299
1988-03-08 07:15:07.3500  121.6768  37.2943  1.83  1.29  113506
1988-04-08 19:19:08.4700  121.6758  37.2932  1.58  1.57  115333
1988-09-29 00:42:04.9800  121.6772  37.2952  1.72  1.48  124558
1988-10-09 06:20:04.8500  121.6768  37.2947  1.76  1.53  125184
1988-11-01 19:46:24.8900  121.6773  37.2935  1.37  1.48  126170
