Fault,Longitude,Latitude,Location Description,Creep rate (mm/yr),sig (mm/yr),Type,Inst,Start,End,Years,Source,EQ Contamination,Temporal Variation Observed,Added or Updated from UCERF3,Used in 2021 Inversion
San Andreas,-120.4217,35.885,Durham Ranch,8.7,0.365,Int,AA,1968,2004,36.0,22,,,No,Yes
San Andreas,-120.975,36.3883,Eade Ranch,31.3,0.4,Int,AA,1970,1976,6.0,3,,,No,Yes
San Andreas,-121.1943,36.5988,"Fence, Airline",19,0.2,Int,Cult,1937,1966,29.0,1,,,No,Yes
San Andreas,-120.9687,36.3828,"Fence, BWV",28,0.2,Int,Cult,1941,1966,25.0,1,,,No,Yes
San Andreas,-120.3072,35.7567,"Fence, Cholame",18,0.2,Int,Cult,1908,1978,70.0,3,,,No,Yes
San Andreas,-120.5357,35.9837,"Fence, Claassen",25,0.2,Int,Cult,1946,1966,20.0,24,,,No,Yes
San Andreas,-120.2267,35.6728,"Fence, O'Brien L",0,0.2,Int,Cult,1937,1966,29.0,1,,,No,Yes
Greenville,-121.69817,37.7206,GALT (Altamont Pass Road),0.7,0.2,Int,AA,2009,2017,8.1,14,,,Yes,Yes
Greenville,-121.57385,37.55581,"GCDM (Cedar Mt., Mines Rd., Widger Ranch)",-1.5,1.1,Int,AA,2014,2017,3.3,14,,,Yes,Yes
Greenville,-121.51785,37.4475,GMTM (Mount Mocho),1.1,1.9,Int,AA,2013,2017,3.7,14,,,Yes,Yes
Greenville,-121.77063,37.78659,GMTR (Morgan Territory Rd.),6.3,2.5,Int,AA,2014,2017,3.3,14,,,Yes,Yes
Green Valley,-122.151,38.207,Green Valley,8.244,9.109,Int,SAR,2006,2010,3.5,23,,,No,No
Green Valley,-122.117,38.119,Green Valley,2.505,12.888,Int,SAR,2006,2010,3.5,23,,,No,No
Green Valley,-122.179,38.294,Green Valley,18.712,18.421,Int,SAR,2006,2010,3.5,23,,,No,No
Greenville,-121.47562,37.32678,GSAR (San Antonio Rd.),1.1,0.9,Int,AA,2014,2017,3.3,14,,,Yes,Yes
Green Valley,-122.24806,38.47626,GVCL (Crystal Lake),0.9,0.3,Int,AA,2007,2014,7.3,14,,,Yes,Yes
Green Valley,-122.1556,38.21861,GVDY (Dynasty Court),0.5,0.2,Int,AA,2009,2018,9,14,maybe,,Yes,No
Green Valley,-122.16186,38.23603,GVMR (Mason Rd),2.6,0.2,Int,AA,2005,2018,13.5,14,,,Yes,Yes
Green Valley,-122.11316,38.11413,GVPR (Parish Rd),0.4,0.4,Int,AA,2007,2017,10.2,14,,,Yes,Yes
Green Valley,-122.15054,38.19848,GVRT (Red Top Rd),3.7,0.1,Int,AA,1984,2018,34.1,14,,,Yes,Yes
Green Valley,-122.1368,38.16584,GVSR (S. Ridgefield Way),2.2,0.4,Int,AA,2009,2018,9,14,,,Yes,Yes
Hayward,-122.10578,37.69495,H167 (167th),4.7,0.1,Int,AA,1992,2018,26.2,14,,,Yes,Yes
Hayward,-122.18931,37.79504,H39A (39th),4.5,0.1,Int,AA,1974,2018,44.5,14,,,Yes,Yes
Hayward,-122.16977,37.77426,H73A (73rd),3.4,0.1,Int,AA,1993,2018,25.4,14,,,Yes,Yes
Hayward,-122.00193,37.5924,HAPP (Appian Way),5.8,0.1,Int,AA,1979,2018,39.1,14,,,Yes,Yes
Hayward,-121.93528,37.51235,HCAM (Camellia Drive),7.6,0.3,Int,AA,1990,2018,21.0,14,,,Yes,Yes
Hayward,-122.33902,37.96918,HCCC (Contra Costa College),5.2,0.1,Int,AA,1980,2018,38.1,14,,,Yes,Yes
Hayward,-121.88548,37.4534,HCCD (Country Club Drive),7.5,2.3,Int,AA,2015,2018,2.1,14,,,Yes,Yes
Hayward,-122.13068,37.7316,HCHB (Chabot Park),4,0.1,Int,AA,1993,2018,25.4,14,,,Yes,Yes
Hunting Creek,-122.38873,38.81388,HCHC (Hunting Creek),3.3,0.4,Int,AA,2007,2018,11.2,14,,,Yes,Yes
Hayward,-122.02325,37.61422,HCHM (Chimes),6.2,0.1,Int,AA,1994,2018,24.2,14,,,Yes,Yes
Hayward,-122.08162,37.67021,HDST (D Street),4.7,0.1,Int,AA,1980,2018,38.3,14,,,Yes,Yes
Hayward,-122.24107,37.86447,HDWT (Dwight Way),5.1,0.1,Int,AA,1997,2018,21.2,14,,,Yes,Yes
Hayward,-122.15148,37.75453,HENC (Encina Way),2.6,0.1,Int,AA,1989,2018,29.1,14,,,Yes,Yes
Hayward,-122.2734,37.8998,HFLO (Florida Avenue),2.7,0.1,Int,AA,1997,2018,21.2,14,,,Yes,Yes
Hayward,-122.12131,37.71749,HFMT (Fairmont),4.6,0.1,Int,AA,1997,2018,21.2,14,,,Yes,Yes
Hayward,-121.98094,37.56645,HGIL (Gilbert),5.9,0.1,Int,AA,1983,2018,35.0,14,,,Yes,Yes
Hayward,-121.95914,37.53942,HHAN (Hancock),6.5,0.1,Int,AA,1982,2018,36.8,14,,,Yes,Yes
Hayward,-122.19863,37.80999,HLNC (Lincoln),3.7,0.1,Int,AA,1970,2018,48.5,14,,,Yes,Yes
Hayward,-122.21005,37.82638,HLSA (LaSalle Ave),4.4,0.1,Int,AA,1993,2018,25.7,14,,,Yes,Yes
Hayward,-121.92182,37.49629,HMSS (Mission),5.3,0.2,Int,AA,1993,2012,19.6,14,,,Yes,Yes
Hayward,-122.30959,37.94252,HOLV (Olive Drive),5.6,0.1,Int,AA,1989,2018,29.0,14,,,Yes,Yes
Hayward,-121.92894,37.50516,HONO (Onondaga),3.2,0.2,Int,AA,1982,2013,31.3,14,,,Yes,Yes
Hayward,-122.07397,37.6627,HPAL (Palisade),4.9,0.1,Int,AA,1977,2018,41.7,14,,,Yes,Yes
Hayward,-121.94181,37.51973,HPIN (Pine),9.4,0.2,Int,AA,1989,2018,29.6,14,,,Yes,Yes
Hayward,-121.93262,37.5096,HPMD (Parkmeadow Drive),6.4,0.1,Int,AA,1992,2018,7.0,14,,,Yes,Yes
Hayward,-121.96187,37.5421,HRKT (Rockett Drive),5.5,0.1,Int,AA,1979,2018,39.1,14,,,Yes,Yes
Hayward,-122.09121,37.67983,HROS (Rose Street),4.5,0.1,Int,AA,1980,2018,38.3,14,,,Yes,Yes
Hayward,-122.05902,37.64798,HSEP (Sepulchre),5.3,0.1,Int,AA,1994,2018,24.2,14,,,Yes,Yes
Hayward,-121.93046,37.5072,HSGR (S. Grimmer),5.9,0.1,Int,AA,1982,2018,36.3,14,,,Yes,Yes
Hayward,-122.25061,37.87066,HSTA (Memorial Stadium),4.9,0.1,Int,AA,1966,2018,51.9,14,,,Yes,Yes
Hayward,-122.29294,37.92449,HTBR (Thors Bay Road),3.6,0.1,Int,AA,1989,2018,29.0,14,,,Yes,Yes
Hayward,-122.23137,37.84853,HTEM (Temescal),4.4,0.1,Int,AA,1974,2018,44.5,14,,,Yes,Yes
Hayward,-121.95584,37.53614,HUNI (Union),6.5,0.1,Int,AA,1993,2018,25.8,14,,,Yes,Yes
